Feature	MIXF1	MIXF2	MIXF3	MIXF4	MIXF5	MIXF6	MIXM11	MIXM12	MIXM13	MIXM14	MIXM15	MIXM16	MIXM21	MIXM22	MIXM23	MIXM24	MIXM25	MIXM26	OTCM11	OTCM12	OTCM13	OTCM14	OTCM15	OTCM16	OTCM21	OTCM22	OTCM23	OTCM24	OTCM25	OTCM26	OTCF1	OTCF2	OTCF3	OTCF4	OTCF5	SCF1	SCF2	SCF3	SCF4	SCF5	SCF6	SCM11	SCM12	SCM13	SCM14	SCM15	SCM16	SCM21	SCM22	SCM23	SCM24	SCM25	SCM26	SMXF1	SMXF2	SMXF3	SMXF4	SMXF5	SMXF6	SMXM11	SMXM12	SMXM13	SMXM14	SMXM15	SMXM16	SMXM21	SMXM22	SMXM23	SMXM24	SMXM25
k__Bacteria.p__Bacteroidota.c__Bacteroidia	73764.11054885168	30105.34846029176	45435.24416135884	7234.6648195182	9790.3206627294	7035.957240038878	436189.81801428273	430212.01413427514	222940.97262331055	375556.0668814232	374629.37735395454	390697.4960696346	220209.54062248132	229718.08927173066	269316.0166426877	7392.653311372431	8561.984787543308	113089.76715686276	412604.81678600213	413532.9708202496	574250.6029631329	436255.7427258812	456161.8638871858	452241.4915202328	322958.53910646634	429382.21421175747	375120.50283422676	365008.8129358571	393961.4823908538	194432.64738813206	4097.105222851892	2069.5998773570445	229.70024118525325	497.6838559013821	995.3677118027641	8639.308855291567	29438.96424167693	22112.529095433016	8506.216080982253	14841.291425463301	9157.368218545596	511493.37215538975	628361.0141536574	515850.80691532133	464702.48411322956	420179.33782955294	556953.7694225969	385896.41434262943	4561.833933910902	13581.251874384136	4426.652296085298	3243.3684698250877	116914.65577056509	1882.371019169451	2987.7386310724805	920.492463467955	6967.573982619352	1841.479321721783	6951.427447208511	579925.3615300877	559188.0587851586	500382.99502106506	414410.61431091424	215890.72720277027	359791.0023435398	1046.1872287662738	10205.264988982939	248165.17461085616	3380.3702684642876	4059.853845261569
k__Bacteria.p__Acidobacteriota	1673.8030362008553	6361.4262560778	8994.40262497588	1885.6307242361263	7808.474374727498	11078.717201166186	998.2338938800586	76.81671531725291	1270.6480304955523	2224.267525694121	280.471191601891	36197.70696729166	32045.131826380602	469.8512137823023	2177.5479254967518	0.0	0.0	382.9656862745099	957.230922387717	38.29363559776363	114.85012059262642	114.85451761102611	191.6002452483138	114.8501205926266	1454.7681941732708	1457.2228400506187	1619.5580920063235	1647.6358341635366	1381.1094912913363	15443.419173004932	0.0	1111.4517859880423	0.0	114.85012059262664	191.4168676543777	24259.48781240356	0.0	4454.61112448832	423.38632077287224	10528.76957146742	6079.2612543285895	76.62248103593586	38.356794906217644	38.3332694445509	1270.9416522241472	76.64009809932557	153.4624976021483	4382.470119521911	7896.956221728117	1927.9379632406499	731.3599445706145	115.83458820803882	4240.228201372292	0.0	38.80180040353871	0.0	38.28337353087556	0.0	19367.81357932935	1438.345513916963	959.2878247189293	727.6905400229796	766.9299792928912	846.479415159677	307.3494947942678	271.23372597644135	193.28153388225266	27945.802080813	157.226524114618	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomonas	14130.011677695593	43152.35008103731	23624.78286045167	7427.076117909641	36822.704031075365	23168.12439261421	3570.6058511863635	614.5337225380233	5121.096607754803	383.494400981745	11258.914977161627	4448.023313777369	1535.0961353954788	1448.707909162099	661.0413345257997	651.1663538514576	637.1709609334556	382.96568627450984	0.0	0.0	0.0	0.0	229.92029429797657	0.0	0.0	306.7837558001303	231.36544171518906	0.0	959.1038133967613	18068.800432415774	1148.7210905192217	3411.007205273647	191.4168676543777	1454.7681941732708	574.2506029631331	2931.194075902497	963.3168927250308	10554.619150814668	5388.553173472919	3574.342437546136	4501.731435167373	153.24496207187173	38.356794906217644	0.0	0.0	0.0	0.0	8844.621513944221	0.0	10410.865001499511	654.374687247392	1698.9072937179028	5550.844190887363	422.5730859359992	1668.4774173521641	76.70770528899625	957.0843382718889	1879.8434742576533	5464.95868491235	0.0	0.0	382.995021064726	115.03949689393369	0.0	0.0	1046.187228766274	773.1261355290106	2621.179127348983	196.5331551432725	1623.9415381046274
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	6773.063448812764	18638.573743922214	3512.8353599691204	1693.219425844685	7927.385152007612	9601.554907677362	0.0	76.81671531725291	0.0	0.0	0.0	0.0	115.13221015466088	0.0	0.0	0.0	0.0	0.0	38.28923689550868	191.46817798881816	0.0	459.41807044410444	1264.561618638871	1799.31855595115	0.0	0.0	0.0	0.0	0.0	3436.1607659935976	0.0	0.0	0.0	76.56674706175109	0.0	0.0	115.5980271270037	0.0	115.46899657441969	0.0	0.0	56585.70224503863	9780.9827010855	48031.58661402228	1502.0219526285377	115381.66768853464	24055.246499136738	1035.8565737051792	115.00421682128322	0.0	0.0	0.0	3430.730090201217	153.66294034036335	0.0	0.0	38.28337353087556	76.72830507174095	131.15900843789638	272.1194215518578	76.74302597751434	114.89850631941783	76.69299792928912	0.0	0.0	0.0	0.0	3064.7632873618877	0.0	0.0
k__Bacteria.p__Actinobacteriota.c__Acidimicrobiia	506.0334760607238	0.0	463.23103647944447	115.44677903486487	2893.4955804827787	5325.5587949465535	691.0850034554252	2919.0351820556107	2233.2601748103657	2646.111366774041	4607.74100488821	4716.438513746694	3914.4951452584705	0.0	1905.3544348096577	0.0	0.0	0.0	497.76007964161283	804.1663475530362	421.1171088396302	229.70903522205222	268.2403433476393	574.2506029631329	38.28337353087555	268.43578632511395	771.2181390506303	536.4395739137096	460.3698304304454	8107.795065827588	114.87210905192217	421.58516020236084	38.283373530875544	153.13349412350217	0.0	2854.057389694536	0.0	40.13163175214703	192.44832762403283	271.9608376393799	577.1450557906887	421.4236456976472	383.56794906217647	689.9988500019161	385.1338340073173	689.7608828939302	920.7749856128897	0.0	1380.050601855399	3341.7591362837934	808.3452018938372	386.1152940267961	2389.9468044098367	0.0	0.0	0.0	153.13349412350223	0.0	1705.067109692653	1593.8423262323101	2072.0617013928872	3829.950210647261	1265.4344658332707	1154.290111581378	1844.0969687656068	309.981401115933	347.90676098805477	18267.602225985986	275.1464172005815	193.32637358388422
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiales_Incertae_Sedis	272.4795640326974	0.0	0.0	692.6806742091893	832.3754409607993	0.0	537.5105582431084	1037.0256567829144	885.6031727696276	882.0371222580136	440.7404439458287	1342.07599984662	767.5480676977392	2153.484729835552	0.0	268.1273221741296	358.4086655250688	153.18627450980392	344.60313205957806	382.9363559776363	229.70024118525285	191.42419601837688	153.28019619865105	38.28337353087553	15045.365797634091	4026.53679487671	3624.725253537962	114.9513372672235	306.9132202869636	1467.1248214354684	1914.5351508653696	804.8443967499617	1110.2178323953906	2947.819761877417	574.2506029631331	2969.7624190064766	693.5881627620222	2929.6091179067334	923.7519725953575	1204.397995260111	0.0	268.1786836257755	383.56794906217647	383.332694445509	77.02676680146347	459.8405885959534	306.9249952042966	3346.613545816733	21620.792762401245	19793.496422604007	1039.3009738635049	926.6767056643106	2004.4715133759921	153.66294034036335	232.8108024212322	230.12311586698874	153.13349412350223	153.4566101434819	2929.217855113019	583.1130461825525	575.5726948313575	1953.2746074301033	651.8904823989576	577.145055790689	998.8858580813703	19722.56664600124	24585.41110982254	766.1908218404719	668.2127274871266	734.64021961876
k__Bacteria.p__Cyanobacteria	0.0	850.8914100486229	0.0	0.0	1268.381624321218	1477.162293488825	2265.223066881672	4071.2859118144047	770.08971545185	3221.3529682466583	4888.212196490102	1380.4210284136664	575.6610507733044	665.6225528582617	894.3500408290232	0.0	0.0	38.29656862745098	2335.6434506260293	650.9918051619818	689.1007235557585	918.8361408882089	2069.2826486817894	3713.4872324949265	2564.986026568662	5982.283238102541	5051.478810781628	3486.857230439113	2455.3057622957094	810.7795065827589	0.0	114.97777096428024	0.0	0.0	0.0	0.0	115.5980271270037	280.9214222650292	307.91732419845255	0.0	423.2397075798384	3984.3690138686648	1879.4829504046645	3373.3277111204793	2233.776237242441	5977.9276517473945	5179.359294072505	159.3625498007968	0.0	2399.211687588364	230.95577196966775	308.89223522143686	1811.7338678590697	230.494410510545	0.0	0.0	0.0	0.0	1792.5064486512506	10962.525268231986	22639.19266336673	25967.062428188427	6327.172329166353	4809.542131589074	12678.166660263543	0.0	0.0	362.932494556013	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae	0.0	2147.487844408429	8531.171588496434	384.82259678288295	1189.107772801142	4897.959183673473	0.0	0.0	423.54934349851766	38.349440098174504	3686.1928039105674	0.0	1151.322101546609	1801.0963194988256	1127.6587471322466	306.4312253418624	756.6405161084786	574.4485294117648	0.0	0.0	76.56674706175095	0.0	0.0	0.0	535.9672294322577	38.347969475016285	347.04816257278367	229.902674534447	0.0	10849.001969035964	957.2675754326847	1073.1258623332824	38.283373530875544	459.40048237050655	38.283373530875544	1542.7337241592088	462.3921085080148	2688.819327393851	577.3449828720985	1592.9134776020824	1192.76644863409	0.0	0.0	76.6665388891018	0.0	0.0	0.0	10517.928286852588	191.6736947021387	11910.372306242236	538.896801262558	695.007529248233	2775.4220954436814	460.98882102109	737.2342076672353	536.9539370229737	267.98361471612884	1227.6528811478552	1399.0294233375614	0.0	76.74302597751434	0.0	0.0	38.476337052712594	0.0	697.4581525108492	695.8135219761095	3185.7407855472256	746.8259895444355	1546.6109886710738
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio	18917.866874270134	24392.220421393853	116811.42636556659	419995.3821288385	6064.449641285824	112730.80660835771	3685.786685095601	2842.2184667383576	17404.027569211812	11773.27811013957	4287.202500200335	2108.9765711875457	191.88701692443482	548.1597494126861	4121.78714469028	482820.69942927203	97088.9251722353	125000.00000000001	79143.85266301643	57976.56429501413	7158.990850273714	7197.54977029097	6246.167995095031	13399.180735806434	12710.080012250677	7938.029681328371	3547.603439632899	47513.21940378571	9897.951354254577	65982.00841666355	957.2675754326848	1877.9702590832437	1110.2178323953906	10757.627962176028	67531.87090846444	0.0	21308.56966707768	3692.1101211975265	95146.45317732182	4739.888884572051	5001.923816852636	24940.61757719712	35863.60323731349	19818.300302832813	33468.13017523588	19389.944819129374	24515.633991943185	199.203187250996	4830.177106493897	28362.109592562454	517456.40709804074	529171.0104637241	5281.011487163671	103991.39487534088	3026.540431476019	1342.3848425574345	6546.45687377972	498.7339829663161	3497.573558343904	10185.04120665525	16883.465715053157	17349.674454232092	127693.84155226637	531127.3566756445	61431.48027200427	2751.0849349039054	25087.94309791639	0.0	52631.57894736837	7307.736921470824
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales	311.40521603736846	2593.1928687196123	810.6543138390279	192.41129839144148	356.7323318403425	233.23615160349868	1727.712508638563	3034.2602550314905	1963.7287744022176	2799.509127166739	1322.2213318374863	2569.1169139921017	4490.156196031774	4620.203602192639	3421.86102578061	38.3039031677328	39.82318505834098	1416.9730392156862	14779.645441666346	6969.441678792981	11638.145553386144	6661.562021439516	14791.538933169826	4938.555185482944	5665.939282569581	9126.816735053875	6439.671461072764	7931.6422714384225	6138.264405739273	1853.2103007605917	0.0	229.95554192856048	0.0	0.0	0.0	0.0	0.0	0.0	38.48966552480657	0.0	1038.8611004232396	21875.718335759688	30263.51118100572	33196.61133898108	12054.689004429032	14638.258736971182	21906.771532706665	199.203187250996	920.0337345702658	1499.507304742728	0.0	347.5037646241165	1117.8783439981494	115.2472052552725	77.60360080707741	38.353852644498126	0.0	383.6415253587047	568.3557032308844	12012.12875136058	7635.9310847626775	5400.229797012638	6787.330316742088	2577.9145825317446	1997.7717161627402	0.0	193.28153388225266	2540.5274618920907	0.0	0.0
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales	1751.6543402101972	2552.6742301458685	2779.386218876667	6041.714769491262	1744.024733441675	1516.034985422741	154188.74299316597	232178.5220463968	184051.44199299213	244784.47614664774	289406.2024200656	273630.1238544423	10899.182561307896	16953.79796397807	11665.435315161167	7162.829892366034	8323.045677193264	8731.617647058822	282919.1714209139	283794.1334150264	455954.97875272704	255359.8774885147	294604.5370938075	253703.91638911216	202136.21224302283	263603.94217126205	226468.20653221753	223925.20499655133	233407.50402823574	11312.304544226112	191.45351508653695	996.4740150237621	229.70024118525325	382.83373530875554	535.9672294322576	1812.7121258870702	3814.7348951911226	4013.163175214704	2232.4006004387807	4157.115661059093	3924.5863793766835	314880.08581717854	515208.4691803157	388584.3523594126	367186.59734257654	258277.13059472735	439631.6900057545	2509.96015936255	2913.4401594725086	4327.149650829015	3464.336579545016	1351.4035290937861	50574.35818364041	806.7304367869076	1125.2522117026224	345.18467380048315	612.5339764940088	920.7396608608914	3716.171905740398	452495.7238376608	431410.9205325969	378399.08081194956	308497.5841705658	145748.36475567525	265549.96350224735	697.4581525108493	7692.605048513657	14275.344785869846	2279.7845996619612	3789.1969222441317
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Stappiaceae.g__Labrenzia	8407.94083300895	243.11183144246365	0.0	1962.5952435927031	118.91077728011419	1593.7803692905743	4799.201412884897	5914.887079428475	8355.473412652573	9050.467863169182	9255.549322862404	5636.719199355804	652.4158575430783	548.159749412686	544.3869813741879	9729.191404604131	18955.836087770305	3370.098039215686	5973.1209556993535	4327.18082254729	3407.220244247917	3292.496171516082	4100.245248313916	4747.138317828566	4096.320967803684	4371.668520151856	6285.427833262636	5441.029963981912	18222.972454538463	15597.853364734981	6968.907949149945	881.4962440594818	5206.538800199074	17304.084835955746	4287.7378354580605	3394.014193150259	2658.7546239210856	4374.347860984027	6774.181132365955	4623.3342398694585	3270.4886494805696	2298.6744310780755	1802.7693605922293	1648.3305861156887	2888.50375505488	2414.1630901287554	1572.99060042202	876.4940239043824	2990.1096373533637	856.8613169958444	47961.81531236767	25174.717170547105	9829.619921363037	10948.484499250888	4229.396243985719	6405.093391631187	2220.435664790782	10319.957032149157	8000.699514711679	1943.7101539418418	1419.7459805840151	4902.336269628494	2224.0969399493847	4732.589457483649	4763.91716931115	5424.674519528828	3904.286984421504	1572.7074764093898	102668.92024684556	74005.33580791089
